Country,ds,final_prediction
Ecuador,1974-01-01,
Falkland Islands,1974-01-01,
Fiji,1974-01-01,
French Guiana,1974-01-01,
French Polynesia,1974-01-01,
Georgia,1974-01-01,
Greenland,1974-01-01,
Grenada,1974-01-01,
Guadeloupe,1974-01-01,
Guam,1974-01-01,
Guyana,1974-01-01,
Jamaica,1974-01-01,
Jordan,1974-01-01,
Kazakhstan,1974-01-01,
Kosovo,1974-01-01,
Kuwait,1974-01-01,
Kyrgyzstan,1974-01-01,
Lebanon,1974-01-01,
Malaysia,1974-01-01,
Mauritius,1974-01-01,
Mayotte,1974-01-01,
Mexico,1974-01-01,
Micronesia (country),1974-01-01,
Moldova,1974-01-01,
Montserrat,1974-01-01,
New Caledonia,1974-01-01,
Niue,1974-01-01,
North Korea,1974-01-01,
North Macedonia,1974-01-01,
Palestine,1974-01-01,
Panama,1974-01-01,
Paraguay,1974-01-01,
Peru,1974-01-01,
Philippines,1974-01-01,
Qatar,1974-01-01,
Reunion,1974-01-01,
Russia,1974-01-01,
Saint Kitts and Nevis,1974-01-01,
Saint Lucia,1974-01-01,
Saint Vincent and the Grenadines,1974-01-01,
Samoa,1974-01-01,
Saudi Arabia,1974-01-01,
Seychelles,1974-01-01,
South Korea,1974-01-01,
Sri Lanka,1974-01-01,
Suriname,1974-01-01,
Syria,1974-01-01,
Thailand,1974-01-01,
Tokelau,1974-01-01,
Tonga,1974-01-01,
Trinidad and Tobago,1974-01-01,
Tunisia,1974-01-01,
Turkey,1974-01-01,
Turkmenistan,1974-01-01,
Turks and Caicos Islands,1974-01-01,
United Arab Emirates,1974-01-01,
Uzbekistan,1974-01-01,
Vanuatu,1974-01-01,
Venezuela,1974-01-01,
Vietnam,1974-01-01,
Wallis and Futuna,1974-01-01,
Albania,1975-01-01,
Anguilla,1975-01-01,
Armenia,1975-01-01,
Azerbaijan,1975-01-01,
Bahamas,1975-01-01,
Bahrain,1975-01-01,
Belize,1975-01-01,
Bosnia and Herzegovina,1975-01-01,
Brazil,1975-01-01,
British Virgin Islands,1975-01-01,
Brunei,1975-01-01,
Cape Verde,1975-01-01,
Cayman Islands,1975-01-01,
Chile,1975-01-01,
China,1975-01-01,
Colombia,1975-01-01,
Cook Islands,1975-01-01,
Dominica,1975-01-01,
Dominican Republic,1975-01-01,
Ecuador,1975-01-01,
Falkland Islands,1975-01-01,
Fiji,1975-01-01,
French Guiana,1975-01-01,
French Polynesia,1975-01-01,
Georgia,1975-01-01,
Greenland,1975-01-01,
Grenada,1975-01-01,
Guadeloupe,1975-01-01,
Guam,1975-01-01,
Guyana,1975-01-01,
Jamaica,1975-01-01,
Jordan,1975-01-01,
Kazakhstan,1975-01-01,
Kosovo,1975-01-01,
Kuwait,1975-01-01,
Kyrgyzstan,1975-01-01,
Lebanon,1975-01-01,
Malaysia,1975-01-01,
Mauritius,1975-01-01,
Mayotte,1975-01-01,
Mexico,1975-01-01,
Micronesia (country),1975-01-01,
Moldova,1975-01-01,
Montserrat,1975-01-01,
New Caledonia,1975-01-01,
Niue,1975-01-01,
North Korea,1975-01-01,
North Macedonia,1975-01-01,
Palestine,1975-01-01,
Panama,1975-01-01,
Paraguay,1975-01-01,
Peru,1975-01-01,
Philippines,1975-01-01,
Qatar,1975-01-01,
Reunion,1975-01-01,
Russia,1975-01-01,
Saint Kitts and Nevis,1975-01-01,
Saint Lucia,1975-01-01,
Saint Vincent and the Grenadines,1975-01-01,
Samoa,1975-01-01,
Saudi Arabia,1975-01-01,
Seychelles,1975-01-01,
South Korea,1975-01-01,
Sri Lanka,1975-01-01,
Suriname,1975-01-01,
Syria,1975-01-01,
Thailand,1975-01-01,
Tokelau,1975-01-01,
Tonga,1975-01-01,
Trinidad and Tobago,1975-01-01,
Tunisia,1975-01-01,
Turkey,1975-01-01,
Turkmenistan,1975-01-01,
Turks and Caicos Islands,1975-01-01,
United Arab Emirates,1975-01-01,
Uzbekistan,1975-01-01,
Vanuatu,1975-01-01,
Venezuela,1975-01-01,
Vietnam,1975-01-01,
Wallis and Futuna,1975-01-01,
Albania,1976-01-01,
Anguilla,1976-01-01,
Armenia,1976-01-01,
Azerbaijan,1976-01-01,
Bahamas,1976-01-01,
Bahrain,1976-01-01,
Belize,1976-01-01,
Bosnia and Herzegovina,1976-01-01,
Brazil,1976-01-01,
British Virgin Islands,1976-01-01,
Brunei,1976-01-01,
Cape Verde,1976-01-01,
Cayman Islands,1976-01-01,
Chile,1976-01-01,
China,1976-01-01,
Colombia,1976-01-01,
Cook Islands,1976-01-01,
Dominica,1976-01-01,
Dominican Republic,1976-01-01,
Ecuador,1976-01-01,
Falkland Islands,1976-01-01,
Fiji,1976-01-01,
French Guiana,1976-01-01,
French Polynesia,1976-01-01,
Georgia,1976-01-01,
Greenland,1976-01-01,
Grenada,1976-01-01,
Guadeloupe,1976-01-01,
Guam,1976-01-01,
Guyana,1976-01-01,
Jamaica,1976-01-01,
Jordan,1976-01-01,
Kazakhstan,1976-01-01,
Kosovo,1976-01-01,
Kuwait,1976-01-01,
Kyrgyzstan,1976-01-01,
Lebanon,1976-01-01,
Malaysia,1976-01-01,
Mauritius,1976-01-01,
Mayotte,1976-01-01,
Mexico,1976-01-01,
Micronesia (country),1976-01-01,
Moldova,1976-01-01,
Montserrat,1976-01-01,
New Caledonia,1976-01-01,
Niue,1976-01-01,
North Korea,1976-01-01,
North Macedonia,1976-01-01,
Palestine,1976-01-01,
Panama,1976-01-01,
Paraguay,1976-01-01,
Peru,1976-01-01,
Philippines,1976-01-01,
Qatar,1976-01-01,
Reunion,1976-01-01,
Russia,1976-01-01,
Saint Kitts and Nevis,1976-01-01,
Saint Lucia,1976-01-01,
Saint Vincent and the Grenadines,1976-01-01,
Samoa,1976-01-01,
Saudi Arabia,1976-01-01,
Seychelles,1976-01-01,
South Korea,1976-01-01,
Sri Lanka,1976-01-01,
Suriname,1976-01-01,
Syria,1976-01-01,
Thailand,1976-01-01,
Tokelau,1976-01-01,
Tonga,1976-01-01,
Trinidad and Tobago,1976-01-01,
Tunisia,1976-01-01,
Turkey,1976-01-01,
Turkmenistan,1976-01-01,
Turks and Caicos Islands,1976-01-01,
United Arab Emirates,1976-01-01,
Uzbekistan,1976-01-01,
Vanuatu,1976-01-01,
Venezuela,1976-01-01,
Vietnam,1976-01-01,
Wallis and Futuna,1976-01-01,
Albania,1977-01-01,
Anguilla,1977-01-01,
Armenia,1977-01-01,
Azerbaijan,1977-01-01,
Bahamas,1977-01-01,
Bahrain,1977-01-01,
Belize,1977-01-01,
Bosnia and Herzegovina,1977-01-01,
Brazil,1977-01-01,
British Virgin Islands,1977-01-01,
Brunei,1977-01-01,
Cape Verde,1977-01-01,
Cayman Islands,1977-01-01,
Chile,1977-01-01,
China,1977-01-01,
Colombia,1977-01-01,
Cook Islands,1977-01-01,
Dominica,1977-01-01,
Dominican Republic,1977-01-01,
Ecuador,1977-01-01,
Falkland Islands,1977-01-01,
Fiji,1977-01-01,
French Guiana,1977-01-01,
French Polynesia,1977-01-01,
Georgia,1977-01-01,
Greenland,1977-01-01,
Grenada,1977-01-01,
Guadeloupe,1977-01-01,
Guam,1977-01-01,
Guyana,1977-01-01,
Jamaica,1977-01-01,
Jordan,1977-01-01,
Kazakhstan,1977-01-01,
Kosovo,1977-01-01,
Kuwait,1977-01-01,
Kyrgyzstan,1977-01-01,
Lebanon,1977-01-01,
Malaysia,1977-01-01,
Mauritius,1977-01-01,
Mayotte,1977-01-01,
Mexico,1977-01-01,
Micronesia (country),1977-01-01,
Moldova,1977-01-01,
Montserrat,1977-01-01,
New Caledonia,1977-01-01,
Niue,1977-01-01,
North Korea,1977-01-01,
North Macedonia,1977-01-01,
Palestine,1977-01-01,
Panama,1977-01-01,
Paraguay,1977-01-01,
Peru,1977-01-01,
Philippines,1977-01-01,
Qatar,1977-01-01,
Reunion,1977-01-01,
Russia,1977-01-01,
Saint Kitts and Nevis,1977-01-01,
Saint Lucia,1977-01-01,
Saint Vincent and the Grenadines,1977-01-01,
Samoa,1977-01-01,
Saudi Arabia,1977-01-01,
Seychelles,1977-01-01,
South Korea,1977-01-01,
Sri Lanka,1977-01-01,
Suriname,1977-01-01,
Syria,1977-01-01,
Thailand,1977-01-01,
Tokelau,1977-01-01,
Tonga,1977-01-01,
Trinidad and Tobago,1977-01-01,
Tunisia,1977-01-01,
Turkey,1977-01-01,
Turkmenistan,1977-01-01,
Turks and Caicos Islands,1977-01-01,
United Arab Emirates,1977-01-01,
Uzbekistan,1977-01-01,
Vanuatu,1977-01-01,
Venezuela,1977-01-01,
Vietnam,1977-01-01,
Wallis and Futuna,1977-01-01,
Albania,1978-01-01,
Anguilla,1978-01-01,
Armenia,1978-01-01,
Azerbaijan,1978-01-01,
Bahamas,1978-01-01,
Bahrain,1978-01-01,
Belize,1978-01-01,
Bosnia and Herzegovina,1978-01-01,
Brazil,1978-01-01,
British Virgin Islands,1978-01-01,
Brunei,1978-01-01,
Cape Verde,1978-01-01,
Cayman Islands,1978-01-01,
Chile,1978-01-01,
China,1978-01-01,
Colombia,1978-01-01,
Cook Islands,1978-01-01,
Dominica,1978-01-01,
Dominican Republic,1978-01-01,
Ecuador,1978-01-01,
Falkland Islands,1978-01-01,
Fiji,1978-01-01,
French Guiana,1978-01-01,
French Polynesia,1978-01-01,
Georgia,1978-01-01,
Greenland,1978-01-01,
Grenada,1978-01-01,
Guadeloupe,1978-01-01,
Guam,1978-01-01,
Guyana,1978-01-01,
Jamaica,1978-01-01,
Jordan,1978-01-01,
Kazakhstan,1978-01-01,
Kosovo,1978-01-01,
Kuwait,1978-01-01,
Kyrgyzstan,1978-01-01,
Lebanon,1978-01-01,
Malaysia,1978-01-01,
Mauritius,1978-01-01,
Mayotte,1978-01-01,
Mexico,1978-01-01,
Micronesia (country),1978-01-01,
Moldova,1978-01-01,
Montserrat,1978-01-01,
New Caledonia,1978-01-01,
Niue,1978-01-01,
North Korea,1978-01-01,
North Macedonia,1978-01-01,
Palestine,1978-01-01,
Panama,1978-01-01,
Paraguay,1978-01-01,
Peru,1978-01-01,
Philippines,1978-01-01,
Qatar,1978-01-01,
Reunion,1978-01-01,
Russia,1978-01-01,
Saint Kitts and Nevis,1978-01-01,
Saint Lucia,1978-01-01,
Saint Vincent and the Grenadines,1978-01-01,
Samoa,1978-01-01,
Saudi Arabia,1978-01-01,
Seychelles,1978-01-01,
South Korea,1978-01-01,
Sri Lanka,1978-01-01,
Suriname,1978-01-01,
Syria,1978-01-01,
Thailand,1978-01-01,
Tokelau,1978-01-01,
Tonga,1978-01-01,
Trinidad and Tobago,1978-01-01,
Tunisia,1978-01-01,
Turkey,1978-01-01,
Turkmenistan,1978-01-01,
Turks and Caicos Islands,1978-01-01,
United Arab Emirates,1978-01-01,
Uzbekistan,1978-01-01,
Vanuatu,1978-01-01,
Venezuela,1978-01-01,
Vietnam,1978-01-01,
Wallis and Futuna,1978-01-01,
Albania,1979-01-01,
Anguilla,1979-01-01,
Armenia,1979-01-01,
Azerbaijan,1979-01-01,
Bahamas,1979-01-01,
Bahrain,1979-01-01,
Belize,1979-01-01,
Bosnia and Herzegovina,1979-01-01,
Brazil,1979-01-01,
British Virgin Islands,1979-01-01,
Brunei,1979-01-01,
Cape Verde,1979-01-01,
Cayman Islands,1979-01-01,
Chile,1979-01-01,
China,1979-01-01,
Colombia,1979-01-01,
Cook Islands,1979-01-01,
Dominica,1979-01-01,
Dominican Republic,1979-01-01,
Ecuador,1979-01-01,
Falkland Islands,1979-01-01,
Fiji,1979-01-01,
French Guiana,1979-01-01,
French Polynesia,1979-01-01,
Georgia,1979-01-01,
Greenland,1979-01-01,
Grenada,1979-01-01,
Guadeloupe,1979-01-01,
Guam,1979-01-01,
Guyana,1979-01-01,
Jamaica,1979-01-01,
Jordan,1979-01-01,
Kazakhstan,1979-01-01,
Kosovo,1979-01-01,
Kuwait,1979-01-01,
Kyrgyzstan,1979-01-01,
Lebanon,1979-01-01,
Malaysia,1979-01-01,
Mauritius,1979-01-01,
Mayotte,1979-01-01,
Mexico,1979-01-01,
Micronesia (country),1979-01-01,
Moldova,1979-01-01,
Montserrat,1979-01-01,
New Caledonia,1979-01-01,
Niue,1979-01-01,
North Korea,1979-01-01,
North Macedonia,1979-01-01,
Palestine,1979-01-01,
Panama,1979-01-01,
Paraguay,1979-01-01,
Peru,1979-01-01,
Philippines,1979-01-01,
Qatar,1979-01-01,
Reunion,1979-01-01,
Russia,1979-01-01,
Saint Kitts and Nevis,1979-01-01,
Saint Lucia,1979-01-01,
Saint Vincent and the Grenadines,1979-01-01,
Samoa,1979-01-01,
Saudi Arabia,1979-01-01,
Seychelles,1979-01-01,
South Korea,1979-01-01,
Sri Lanka,1979-01-01,
Suriname,1979-01-01,
Syria,1979-01-01,
Thailand,1979-01-01,
Tokelau,1979-01-01,
Tonga,1979-01-01,
Trinidad and Tobago,1979-01-01,
Tunisia,1979-01-01,
Turkey,1979-01-01,
Turkmenistan,1979-01-01,
Turks and Caicos Islands,1979-01-01,
United Arab Emirates,1979-01-01,
Uzbekistan,1979-01-01,
Vanuatu,1979-01-01,
Venezuela,1979-01-01,
Vietnam,1979-01-01,
Wallis and Futuna,1979-01-01,
Albania,1980-01-01,
Anguilla,1980-01-01,
Armenia,1980-01-01,
Azerbaijan,1980-01-01,
Bahamas,1980-01-01,
Bahrain,1980-01-01,
Belize,1980-01-01,
Bosnia and Herzegovina,1980-01-01,
Brazil,1980-01-01,
British Virgin Islands,1980-01-01,
Brunei,1980-01-01,
Cape Verde,1980-01-01,
Cayman Islands,1980-01-01,
Chile,1980-01-01,
China,1980-01-01,
Colombia,1980-01-01,
Cook Islands,1980-01-01,
Dominica,1980-01-01,
Dominican Republic,1980-01-01,
Ecuador,1980-01-01,
Falkland Islands,1980-01-01,
Fiji,1980-01-01,
French Guiana,1980-01-01,
French Polynesia,1980-01-01,
Georgia,1980-01-01,
Greenland,1980-01-01,
Grenada,1980-01-01,
Guadeloupe,1980-01-01,
Guam,1980-01-01,
Guyana,1980-01-01,
Jamaica,1980-01-01,
Jordan,1980-01-01,
Kazakhstan,1980-01-01,
Kosovo,1980-01-01,
Kuwait,1980-01-01,
Kyrgyzstan,1980-01-01,
Lebanon,1980-01-01,
Malaysia,1980-01-01,
Mauritius,1980-01-01,
Mayotte,1980-01-01,
Mexico,1980-01-01,
Micronesia (country),1980-01-01,
Moldova,1980-01-01,
Montserrat,1980-01-01,
New Caledonia,1980-01-01,
Niue,1980-01-01,
North Korea,1980-01-01,
North Macedonia,1980-01-01,
Palestine,1980-01-01,
Panama,1980-01-01,
Paraguay,1980-01-01,
Peru,1980-01-01,
Philippines,1980-01-01,
Qatar,1980-01-01,
Reunion,1980-01-01,
Russia,1980-01-01,
Saint Kitts and Nevis,1980-01-01,
Saint Lucia,1980-01-01,
Saint Vincent and the Grenadines,1980-01-01,
Samoa,1980-01-01,
Saudi Arabia,1980-01-01,
Seychelles,1980-01-01,
South Korea,1980-01-01,
Sri Lanka,1980-01-01,
Suriname,1980-01-01,
Syria,1980-01-01,
Thailand,1980-01-01,
Tokelau,1980-01-01,
Tonga,1980-01-01,
Trinidad and Tobago,1980-01-01,
Tunisia,1980-01-01,
Turkey,1980-01-01,
Turkmenistan,1980-01-01,
Turks and Caicos Islands,1980-01-01,
United Arab Emirates,1980-01-01,
Uzbekistan,1980-01-01,
Vanuatu,1980-01-01,
Venezuela,1980-01-01,
Vietnam,1980-01-01,
Wallis and Futuna,1980-01-01,
Albania,1981-01-01,
Anguilla,1981-01-01,
Armenia,1981-01-01,
Azerbaijan,1981-01-01,
Bahamas,1981-01-01,
Bahrain,1981-01-01,
Belize,1981-01-01,
Bosnia and Herzegovina,1981-01-01,
Brazil,1981-01-01,
British Virgin Islands,1981-01-01,
Brunei,1981-01-01,
Cape Verde,1981-01-01,
Cayman Islands,1981-01-01,
Chile,1981-01-01,
China,1981-01-01,
Colombia,1981-01-01,
Cook Islands,1981-01-01,
Dominica,1981-01-01,
Dominican Republic,1981-01-01,
Ecuador,1981-01-01,
Falkland Islands,1981-01-01,
Fiji,1981-01-01,
French Guiana,1981-01-01,
French Polynesia,1981-01-01,
Georgia,1981-01-01,
Greenland,1981-01-01,
Grenada,1981-01-01,
Guadeloupe,1981-01-01,
Guam,1981-01-01,
Guyana,1981-01-01,
Jamaica,1981-01-01,
Jordan,1981-01-01,
Kazakhstan,1981-01-01,
Kosovo,1981-01-01,
Kuwait,1981-01-01,
Kyrgyzstan,1981-01-01,
Lebanon,1981-01-01,
Malaysia,1981-01-01,
Mauritius,1981-01-01,
Mayotte,1981-01-01,
Mexico,1981-01-01,
Micronesia (country),1981-01-01,
Moldova,1981-01-01,
Montserrat,1981-01-01,
New Caledonia,1981-01-01,
Niue,1981-01-01,
North Korea,1981-01-01,
North Macedonia,1981-01-01,
Palestine,1981-01-01,
Panama,1981-01-01,
Paraguay,1981-01-01,
Peru,1981-01-01,
Philippines,1981-01-01,
Qatar,1981-01-01,
Reunion,1981-01-01,
Russia,1981-01-01,
Saint Kitts and Nevis,1981-01-01,
Saint Lucia,1981-01-01,
Saint Vincent and the Grenadines,1981-01-01,
Samoa,1981-01-01,
Saudi Arabia,1981-01-01,
Seychelles,1981-01-01,
South Korea,1981-01-01,
Sri Lanka,1981-01-01,
Suriname,1981-01-01,
Syria,1981-01-01,
Thailand,1981-01-01,
Tokelau,1981-01-01,
Tonga,1981-01-01,
Trinidad and Tobago,1981-01-01,
Tunisia,1981-01-01,
Turkey,1981-01-01,
Turkmenistan,1981-01-01,
Turks and Caicos Islands,1981-01-01,
United Arab Emirates,1981-01-01,
Uzbekistan,1981-01-01,
Vanuatu,1981-01-01,
Venezuela,1981-01-01,
Vietnam,1981-01-01,
Wallis and Futuna,1981-01-01,
Albania,1982-01-01,
Anguilla,1982-01-01,
Armenia,1982-01-01,
Azerbaijan,1982-01-01,
Bahamas,1982-01-01,
Bahrain,1982-01-01,
Belize,1982-01-01,
Bosnia and Herzegovina,1982-01-01,
Brazil,1982-01-01,
British Virgin Islands,1982-01-01,
Brunei,1982-01-01,
Cape Verde,1982-01-01,
Cayman Islands,1982-01-01,
Chile,1982-01-01,
China,1982-01-01,
Colombia,1982-01-01,
Cook Islands,1982-01-01,
Dominica,1982-01-01,
Dominican Republic,1982-01-01,
Ecuador,1982-01-01,
Falkland Islands,1982-01-01,
Fiji,1982-01-01,
French Guiana,1982-01-01,
French Polynesia,1982-01-01,
Georgia,1982-01-01,
Greenland,1982-01-01,
Grenada,1982-01-01,
Guadeloupe,1982-01-01,
Guam,1982-01-01,
Guyana,1982-01-01,
Jamaica,1982-01-01,
Jordan,1982-01-01,
Kazakhstan,1982-01-01,
Kosovo,1982-01-01,
Kuwait,1982-01-01,
Kyrgyzstan,1982-01-01,
Lebanon,1982-01-01,
Malaysia,1982-01-01,
Mauritius,1982-01-01,
Mayotte,1982-01-01,
Mexico,1982-01-01,
Micronesia (country),1982-01-01,
Moldova,1982-01-01,
Montserrat,1982-01-01,
New Caledonia,1982-01-01,
Niue,1982-01-01,
North Korea,1982-01-01,
North Macedonia,1982-01-01,
Palestine,1982-01-01,
Panama,1982-01-01,
Paraguay,1982-01-01,
Peru,1982-01-01,
Philippines,1982-01-01,
Qatar,1982-01-01,
Reunion,1982-01-01,
Russia,1982-01-01,
Saint Kitts and Nevis,1982-01-01,
Saint Lucia,1982-01-01,
Saint Vincent and the Grenadines,1982-01-01,
Samoa,1982-01-01,
Saudi Arabia,1982-01-01,
Seychelles,1982-01-01,
South Korea,1982-01-01,
Sri Lanka,1982-01-01,
Suriname,1982-01-01,
Syria,1982-01-01,
Thailand,1982-01-01,
Tokelau,1982-01-01,
Tonga,1982-01-01,
Trinidad and Tobago,1982-01-01,
Tunisia,1982-01-01,
Turkey,1982-01-01,
Turkmenistan,1982-01-01,
Turks and Caicos Islands,1982-01-01,
United Arab Emirates,1982-01-01,
Uzbekistan,1982-01-01,
Vanuatu,1982-01-01,
Venezuela,1982-01-01,
Vietnam,1982-01-01,
Wallis and Futuna,1982-01-01,
Albania,1983-01-01,
Anguilla,1983-01-01,
Armenia,1983-01-01,
Azerbaijan,1983-01-01,
Bahamas,1983-01-01,
Bahrain,1983-01-01,
Belize,1983-01-01,
Bosnia and Herzegovina,1983-01-01,
Brazil,1983-01-01,
British Virgin Islands,1983-01-01,
Brunei,1983-01-01,
Cape Verde,1983-01-01,
Cayman Islands,1983-01-01,
Chile,1983-01-01,
China,1983-01-01,
Colombia,1983-01-01,
Cook Islands,1983-01-01,
Dominica,1983-01-01,
Dominican Republic,1983-01-01,
Ecuador,1983-01-01,
Falkland Islands,1983-01-01,
Fiji,1983-01-01,
French Guiana,1983-01-01,
French Polynesia,1983-01-01,
Georgia,1983-01-01,
Greenland,1983-01-01,
Grenada,1983-01-01,
Guadeloupe,1983-01-01,
Guam,1983-01-01,
Guyana,1983-01-01,
Jamaica,1983-01-01,
Jordan,1983-01-01,
Kazakhstan,1983-01-01,
Kosovo,1983-01-01,
Kuwait,1983-01-01,
Kyrgyzstan,1983-01-01,
Lebanon,1983-01-01,
Malaysia,1983-01-01,
Mauritius,1983-01-01,
Mayotte,1983-01-01,
Mexico,1983-01-01,
Micronesia (country),1983-01-01,
Moldova,1983-01-01,
Montserrat,1983-01-01,
New Caledonia,1983-01-01,
Niue,1983-01-01,
North Korea,1983-01-01,
North Macedonia,1983-01-01,
Palestine,1983-01-01,
Panama,1983-01-01,
Paraguay,1983-01-01,
Peru,1983-01-01,
Philippines,1983-01-01,
Qatar,1983-01-01,
Reunion,1983-01-01,
Russia,1983-01-01,
Saint Kitts and Nevis,1983-01-01,
Saint Lucia,1983-01-01,
Saint Vincent and the Grenadines,1983-01-01,
Samoa,1983-01-01,
Saudi Arabia,1983-01-01,
Seychelles,1983-01-01,
South Korea,1983-01-01,
Sri Lanka,1983-01-01,
Suriname,1983-01-01,
Syria,1983-01-01,
Thailand,1983-01-01,
Tokelau,1983-01-01,
Tonga,1983-01-01,
Trinidad and Tobago,1983-01-01,
Tunisia,1983-01-01,
Turkey,1983-01-01,
Turkmenistan,1983-01-01,
Turks and Caicos Islands,1983-01-01,
United Arab Emirates,1983-01-01,
Uzbekistan,1983-01-01,
Vanuatu,1983-01-01,
Venezuela,1983-01-01,
Vietnam,1983-01-01,
Wallis and Futuna,1983-01-01,
Albania,1984-01-01,
Anguilla,1984-01-01,
Armenia,1984-01-01,
Azerbaijan,1984-01-01,
Bahamas,1984-01-01,
Bahrain,1984-01-01,
Belize,1984-01-01,
Bosnia and Herzegovina,1984-01-01,
Brazil,1984-01-01,
British Virgin Islands,1984-01-01,
Brunei,1984-01-01,
Cape Verde,1984-01-01,
Cayman Islands,1984-01-01,
Chile,1984-01-01,
China,1984-01-01,
Colombia,1984-01-01,
Cook Islands,1984-01-01,
Dominica,1984-01-01,
Dominican Republic,1984-01-01,
Ecuador,1984-01-01,
Falkland Islands,1984-01-01,
Fiji,1984-01-01,
French Guiana,1984-01-01,
French Polynesia,1984-01-01,
Georgia,1984-01-01,
Greenland,1984-01-01,
Grenada,1984-01-01,
Guadeloupe,1984-01-01,
Guam,1984-01-01,
Guyana,1984-01-01,
Jamaica,1984-01-01,
Jordan,1984-01-01,
Kazakhstan,1984-01-01,
Kosovo,1984-01-01,
Kuwait,1984-01-01,
Kyrgyzstan,1984-01-01,
Lebanon,1984-01-01,
Malaysia,1984-01-01,
Mauritius,1984-01-01,
Mayotte,1984-01-01,
Mexico,1984-01-01,
Micronesia (country),1984-01-01,
Moldova,1984-01-01,
Montserrat,1984-01-01,
New Caledonia,1984-01-01,
Niue,1984-01-01,
North Korea,1984-01-01,
North Macedonia,1984-01-01,
Palestine,1984-01-01,
Panama,1984-01-01,
Paraguay,1984-01-01,
Peru,1984-01-01,
Philippines,1984-01-01,
Qatar,1984-01-01,
Reunion,1984-01-01,
Russia,1984-01-01,
Saint Kitts and Nevis,1984-01-01,
Saint Lucia,1984-01-01,
Saint Vincent and the Grenadines,1984-01-01,
Samoa,1984-01-01,
Saudi Arabia,1984-01-01,
Seychelles,1984-01-01,
South Korea,1984-01-01,
Sri Lanka,1984-01-01,
Suriname,1984-01-01,
Syria,1984-01-01,
Thailand,1984-01-01,
Tokelau,1984-01-01,
Tonga,1984-01-01,
Trinidad and Tobago,1984-01-01,
Tunisia,1984-01-01,
Turkey,1984-01-01,
Turkmenistan,1984-01-01,
Turks and Caicos Islands,1984-01-01,
United Arab Emirates,1984-01-01,
Uzbekistan,1984-01-01,
Vanuatu,1984-01-01,
Venezuela,1984-01-01,
Vietnam,1984-01-01,
Wallis and Futuna,1984-01-01,
Albania,1985-01-01,
Anguilla,1985-01-01,
Armenia,1985-01-01,
Azerbaijan,1985-01-01,
Bahamas,1985-01-01,
Bahrain,1985-01-01,
Belize,1985-01-01,
Bosnia and Herzegovina,1985-01-01,
Brazil,1985-01-01,
British Virgin Islands,1985-01-01,
Brunei,1985-01-01,
Cape Verde,1985-01-01,
Cayman Islands,1985-01-01,
Chile,1985-01-01,
China,1985-01-01,
Colombia,1985-01-01,
Cook Islands,1985-01-01,
Dominica,1985-01-01,
Dominican Republic,1985-01-01,
Ecuador,1985-01-01,
Falkland Islands,1985-01-01,
Fiji,1985-01-01,
French Guiana,1985-01-01,
French Polynesia,1985-01-01,
Georgia,1985-01-01,
Greenland,1985-01-01,
Grenada,1985-01-01,
Guadeloupe,1985-01-01,
Guam,1985-01-01,
Guyana,1985-01-01,
Jamaica,1985-01-01,
Jordan,1985-01-01,
Kazakhstan,1985-01-01,
Kosovo,1985-01-01,
Kuwait,1985-01-01,
Kyrgyzstan,1985-01-01,
Lebanon,1985-01-01,
Malaysia,1985-01-01,
Mauritius,1985-01-01,
Mayotte,1985-01-01,
Mexico,1985-01-01,
Micronesia (country),1985-01-01,
Moldova,1985-01-01,
Montserrat,1985-01-01,
New Caledonia,1985-01-01,
Niue,1985-01-01,
North Korea,1985-01-01,
North Macedonia,1985-01-01,
Palestine,1985-01-01,
Panama,1985-01-01,
Paraguay,1985-01-01,
Peru,1985-01-01,
Philippines,1985-01-01,
Qatar,1985-01-01,
Reunion,1985-01-01,
Russia,1985-01-01,
Saint Kitts and Nevis,1985-01-01,
Saint Lucia,1985-01-01,
Saint Vincent and the Grenadines,1985-01-01,
Samoa,1985-01-01,
Saudi Arabia,1985-01-01,
Seychelles,1985-01-01,
South Korea,1985-01-01,
Sri Lanka,1985-01-01,
Suriname,1985-01-01,
Syria,1985-01-01,
Thailand,1985-01-01,
Tokelau,1985-01-01,
Tonga,1985-01-01,
Trinidad and Tobago,1985-01-01,
Tunisia,1985-01-01,
Turkey,1985-01-01,
Turkmenistan,1985-01-01,
Turks and Caicos Islands,1985-01-01,
United Arab Emirates,1985-01-01,
Uzbekistan,1985-01-01,
Vanuatu,1985-01-01,
Venezuela,1985-01-01,
Vietnam,1985-01-01,
Wallis and Futuna,1985-01-01,
Albania,1986-01-01,
Anguilla,1986-01-01,
Armenia,1986-01-01,
Azerbaijan,1986-01-01,
Bahamas,1986-01-01,
Bahrain,1986-01-01,
Belize,1986-01-01,
Bosnia and Herzegovina,1986-01-01,
Brazil,1986-01-01,
British Virgin Islands,1986-01-01,
Brunei,1986-01-01,
Cape Verde,1986-01-01,
Cayman Islands,1986-01-01,
Chile,1986-01-01,
China,1986-01-01,
Colombia,1986-01-01,
Cook Islands,1986-01-01,
Dominica,1986-01-01,
Dominican Republic,1986-01-01,
Ecuador,1986-01-01,
Falkland Islands,1986-01-01,
Fiji,1986-01-01,
French Guiana,1986-01-01,
French Polynesia,1986-01-01,
Georgia,1986-01-01,
Greenland,1986-01-01,
Grenada,1986-01-01,
Guadeloupe,1986-01-01,
Guam,1986-01-01,
Guyana,1986-01-01,
